moughataa;willaya;p0;p1_;p2_;c0_;c1_;c2_
Aioun;Hodh el Gharbi;41.5;11.4;4.5;3.6;2.9;2.4
Akjoujt;Inchiri;19.6;5.8;2;.2;.1;.1
Aleg;Brakna;48.5;20.4;11.6;4.9;6.1;7.3
Amourj;Hodh ech Chargui;59.1;22.6;11.4;3.8;4.3;4.5
Aoujeft;Adrar;59.1;22.6;11.4;3.8;4.3;4.5
Atar;Adrar;55.5;20.9;9.5;.8;.8;.8
Bababe;Brakna;57.6;20.3;9.9;1;1.1;1.1
Barkeol;Assaba;67.3;31;17.3;3.4;4.6;5.4
Bassikounou;Hodh ech Chargui;53;23.5;12.9;3.8;4.9;5.7
Bir Moghre�n;Tiris Zemmour;49.3;16.7;7.6;.1;.1;.1
Boghe;Brakna;50.7;17.6;8.4;3.1;3.2;3.2
Boumde�d;Assaba;53.4;15.9;6.8;.2;.2;.2
Boutilimit;Trarza;25.7;7.8;3.6;1.5;1.3;1.3
Chinguetti;Adrar;59.9;21.6;10.7;.5;.5;.6
Djiguenni;Hodh ech Chargui;42.9;14.3;6.7;1.8;1.7;1.7
F'Derik;Tiris Zemmour;51.2;20.4;10.3;.1;.2;.2
Guerou;Assaba;23.9;6;2.2;.8;.6;.5
Kaedi;Gorgol;40.1;9.6;3.4;3.7;2.6;1.9
Kankossa;Assaba;65.4;20.7;8.8;4.6;4.3;3.8
Keur-Macene;Trarza;43.6;16.3;8.6;.9;.9;1
Kiffa;Assaba;32.8;10.6;4.7;3.1;3;2.8
Kobenni;Hodh el Gharbi;64.6;24.1;11.6;3.1;3.4;3.5
M'Bagne;Brakna;70.1;27.8;13.4;3.1;3.6;3.7
M'Bout;Gorgol;74.1;28.8;14.5;5.8;6.6;7
Maghama;Gorgol;40.9;13.6;6.5;1.1;1.1;1.1
Magta-Lahjar;Brakna;48;13.9;5.5;3.4;2.9;2.5
Mederdra;Trarza;16.8;5;2.4;1.3;1.2;1.2
Monguel;Gorgol;84.4;34.2;17.5;2.6;3.1;3.3
Moudjeria;Tagant;80.3;30.6;15;1.9;2.1;2.2
Nema;Hodh ech Chargui;61;27.4;15.3;4.6;6.1;7.2
Nouadhibou;Dakhlet Nouadhibou;12.4;2.5;.6;1.5;.9;.4
Nouakchott;Nouakchott;10.69;2.31;.77;.86;.55;.37
Ouad-Naga;Trarza;23.8;6.1;2.5;.7;.5;.4
Ouadane;Hodh ech Chargui;75.3;22.4;9.1;.3;.2;.2
Ould Yenge;Guidimaka;44.3;15;6.9;1.8;1.8;1.8
R'Kiz;Trarza;34.4;13.3;7;2.9;3.3;3.7
Rosso;Trarza;29.2;7.8;3.3;1.3;1;.9
Selibaby;Guidimaka;43.6;14.1;6.5;5.8;5.5;5.4
Tamchakett;Hodh el Gharbi;41.2;11.5;4.8;.9;.7;.6
Tichitt;Tagant;30.1;9.8;5.2;.1;.1;.1
Tidjikja;Tagant;49.1;18.8;9.8;1.4;1.6;1.8
Timberdra;Hodh ech Chargui;48.6;13.8;5.9;.2;.2;.2
Tintane;Hodh el Gharbi;22;5.9;2.2;1.4;1.1;.9
Zouerate;Tiris Zemmour;9.2;2;.7;.3;.2;.1